"autriche                ";"lci-monde-2005-09-06.html                         ";"grostitre               ";"0,,3242113-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-19.html                         ";"rappel                  ";"0,,3284628-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-20.html                         ";"rappel                  ";"0,,3284628-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-27.html                         ";"grostitre               ";"0,,3286595-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-02-28.html                         ";"grostitre               ";"0,,3286595-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-03-01.html                         ";"grostitre               ";"0,,3287115-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-03-01.html                         ";"rappel                  ";"0,,3286595-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-03-02.html                         ";"grostitre               ";"0,,3287115-vu5wx0leiduy,00.html                                            "
"guantanamo              ";"lci-monde-2006-03-02.html                         ";"rappel                  ";"0,,3286595-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-02-28.html                         ";"grostitre               ";"0,,3204805-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-13.html                         ";"grostitre               ";"0,,3207335-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-13.html                         ";"grostitre               ";"0,,3207258-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-14.html                         ";"grostitre               ";"0,,3207335-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-14.html                         ";"grostitre               ";"0,,3207258-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-15.html                         ";"rappel                  ";"0,,3207335-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-22.html                         ";"grostitre               ";"0,,3208924-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-22.html                         ";"grostitre               ";"0,,3208936-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-22.html                         ";"rappel                  ";"0,,3208709-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-23.html                         ";"grostitre               ";"0,,3209161-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-23.html                         ";"grostitre               ";"0,,3208923-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-23.html                         ";"grostitre               ";"0,,3208936-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-23.html                         ";"rappel                  ";"0,,3208924-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-23.html                         ";"rappel                  ";"0,,3208709-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-24.html                         ";"grostitre               ";"0,,3209365-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-24.html                         ";"rappel                  ";"0,,3209161-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-24.html                         ";"rappel                  ";"0,,3208923-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-24.html                         ";"rappel                  ";"0,,3208936-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-25.html                         ";"grostitre               ";"0,,3209468-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-25.html                         ";"rappel                  ";"0,,3209361-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-25.html                         ";"rappel                  ";"0,,3208923-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-26.html                         ";"grostitre               ";"0,,3209468-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-26.html                         ";"rappel                  ";"0,,3209361-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-26.html                         ";"rappel                  ";"0,,3208923-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-27.html                         ";"rappel                  ";"0,,3209468-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-03-28.html                         ";"rappel                  ";"0,,3209468-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-01.html                         ";"grostitre               ";"0,,3210655-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-02.html                         ";"rappel                  ";"0,,3210655-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-03.html                         ";"rappel                  ";"0,,3210655-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-06.html                         ";"grostitre               ";"0,,3211687-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-23.html                         ";"grostitre               ";"0,,3215037-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-26.html                         ";"rappel                  ";"0,,3215037-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-27.html                         ";"rappel                  ";"0,,3215037-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-29.html                         ";"grostitre               ";"0,,3215906-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-04-30.html                         ";"grostitre               ";"0,,3215906-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-12.html                         ";"grostitre               ";"0,,3218592-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-14.html                         ";"rappel                  ";"0,,3218592-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-15.html                         ";"rappel                  ";"0,,3218592-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-18.html                         ";"grostitre               ";"0,,3219890-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-19.html                         ";"rappel                  ";"0,,3219890-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-20.html                         ";"grostitre               ";"0,,3220271-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-20.html                         ";"grostitre               ";"0,,3220127-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-20.html                         ";"rappel                  ";"0,,3219890-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-21.html                         ";"grostitre               ";"0,,3220271-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-21.html                         ";"grostitre               ";"0,,3220127-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-21.html                         ";"rappel                  ";"0,,3219890-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-22.html                         ";"rappel                  ";"0,,3220271-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-22.html                         ";"rappel                  ";"0,,3220127-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-23.html                         ";"rappel                  ";"0,,3220271-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-23.html                         ";"rappel                  ";"0,,3220127-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-05-24.html                         ";"rappel                  ";"0,,3220271-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-15.html                         ";"grostitre               ";"0,,3225947-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-16.html                         ";"rappel                  ";"0,,3225947-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-17.html                         ";"rappel                  ";"0,,3225947-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-27.html                         ";"rappel                  ";"0,,3227469-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-28.html                         ";"rappel                  ";"0,,3227469-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-06-29.html                         ";"rappel                  ";"0,,3227469-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-03.html                         ";"grostitre               ";"0,,3228865-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-04.html                         ";"rappel                  ";"0,,3228865-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-18.html                         ";"grostitre               ";"0,,3232431-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-18.html                         ";"grostitre               ";"0,,3231942-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-19.html                         ";"grostitre               ";"0,,3232431-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-19.html                         ";"rappel                  ";"0,,3231942-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-20.html                         ";"rappel                  ";"0,,3232431-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-21.html                         ";"rappel                  ";"0,,3232431-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-29.html                         ";"grostitre               ";"0,,3234337-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-30.html                         ";"grostitre               ";"0,,3234337-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-07-31.html                         ";"rappel                  ";"0,,3234337-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-01.html                         ";"rappel                  ";"0,,3234337-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-24.html                         ";"grostitre               ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-25.html                         ";"grostitre               ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-26.html                         ";"grostitre               ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-27.html                         ";"grostitre               ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-28.html                         ";"grostitre               ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-28.html                         ";"grostitre               ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-29.html                         ";"grostitre               ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-29.html                         ";"rappel                  ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-30.html                         ";"grostitre               ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-30.html                         ";"rappel                  ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-31.html                         ";"grostitre               ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-08-31.html                         ";"rappel                  ";"0,,3239020-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-01.html                         ";"rappel                  ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-02.html                         ";"rappel                  ";"0,,3239428-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-12.html                         ";"grostitre               ";"0,,3244202-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-13.html                         ";"grostitre               ";"0,,3244355-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-13.html                         ";"grostitre               ";"0,,3244202-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-14.html                         ";"grostitre               ";"0,,3244202-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-15.html                         ";"grostitre               ";"0,,3244202-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-21.html                         ";"grostitre               ";"0,,3246695-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-23.html                         ";"grostitre               ";"0,,3247910-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-23.html                         ";"grostitre               ";"0,,3247404-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-25.html                         ";"grostitre               ";"0,,3247788-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-25.html                         ";"grostitre               ";"0,,3247404-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-26.html                         ";"rappel                  ";"0,,3247788-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-27.html                         ";"rappel                  ";"0,,3247788-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-28.html                         ";"rappel                  ";"0,,3247788-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-30.html                         ";"grostitre               ";"0,,3249720-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-09-30.html                         ";"grostitre               ";"0,,3249808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-01.html                         ";"grostitre               ";"0,,3249720-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-01.html                         ";"grostitre               ";"0,,3249808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-02.html                         ";"grostitre               ";"0,,3249720-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-02.html                         ";"grostitre               ";"0,,3249808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-03.html                         ";"rappel                  ";"0,,3249720-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-03.html                         ";"rappel                  ";"0,,3249808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-04.html                         ";"grostitre               ";"0,,3250808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-04.html                         ";"rappel                  ";"0,,3249720-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-04.html                         ";"rappel                  ";"0,,3249808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-05.html                         ";"grostitre               ";"0,,3250808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-06.html                         ";"rappel                  ";"0,,3250808-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-07.html                         ";"grostitre               ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-07.html                         ";"grostitre               ";"0,,3251786-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-08.html                         ";"grostitre               ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-08.html                         ";"grostitre               ";"0,,3251786-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-09.html                         ";"grostitre               ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-09.html                         ";"grostitre               ";"0,,3251786-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-10.html                         ";"rappel                  ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-10.html                         ";"rappel                  ";"0,,3251786-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-11.html                         ";"grostitre               ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-11.html                         ";"grostitre               ";"0,,3252988-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-11.html                         ";"rappel                  ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-11.html                         ";"rappel                  ";"0,,3251786-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-12.html                         ";"grostitre               ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-12.html                         ";"grostitre               ";"0,,3252988-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-12.html                         ";"rappel                  ";"0,,3252048-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-13.html                         ";"grostitre               ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-13.html                         ";"grostitre               ";"0,,3252988-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-14.html                         ";"grostitre               ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-14.html                         ";"rappel                  ";"0,,3252988-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-16.html                         ";"rappel                  ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-17.html                         ";"rappel                  ";"0,,3253191-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-21.html                         ";"grostitre               ";"0,,3256163-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-22.html                         ";"grostitre               ";"0,,3256255-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-22.html                         ";"grostitre               ";"0,,3256163-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-23.html                         ";"grostitre               ";"0,,3256255-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-23.html                         ";"grostitre               ";"0,,3256163-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-24.html                         ";"rappel                  ";"0,,3256255-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-24.html                         ";"rappel                  ";"0,,3256163-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-25.html                         ";"grostitre               ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-25.html                         ";"rappel                  ";"0,,3256255-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-26.html                         ";"grostitre               ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-26.html                         ";"rappel                  ";"0,,3256255-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-27.html                         ";"rappel                  ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-28.html                         ";"grostitre               ";"0,,3258213-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-28.html                         ";"grostitre               ";"0,,3258239-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-28.html                         ";"rappel                  ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-29.html                         ";"grostitre               ";"0,,3258213-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-29.html                         ";"rappel                  ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-30.html                         ";"grostitre               ";"0,,3258410-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-30.html                         ";"grostitre               ";"0,,3258213-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-30.html                         ";"rappel                  ";"0,,3257217-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-31.html                         ";"grostitre               ";"0,,3258410-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-10-31.html                         ";"rappel                  ";"0,,3258213-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-01.html                         ";"grostitre               ";"0,,3258410-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-01.html                         ";"rappel                  ";"0,,3258213-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-02.html                         ";"rappel                  ";"0,,3258410-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-03.html                         ";"rappel                  ";"0,,3258410-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-04.html                         ";"grostitre               ";"0,,3259542-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-05.html                         ";"grostitre               ";"0,,3259542-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-06.html                         ";"grostitre               ";"0,,3259542-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-07.html                         ";"rappel                  ";"0,,3259542-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-08.html                         ";"grostitre               ";"0,,3260269-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-08.html                         ";"rappel                  ";"0,,3259542-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-09.html                         ";"grostitre               ";"0,,3260269-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-10.html                         ";"grostitre               ";"0,,3261531-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-10.html                         ";"grostitre               ";"0,,3260269-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-11.html                         ";"rappel                  ";"0,,3261531-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-11.html                         ";"rappel                  ";"0,,3260269-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-13.html                         ";"rappel                  ";"0,,3261531-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-13.html                         ";"rappel                  ";"0,,3260269-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-17.html                         ";"grostitre               ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-18.html                         ";"grostitre               ";"0,,3263990-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-18.html                         ";"grostitre               ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-19.html                         ";"grostitre               ";"0,,3263990-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-19.html                         ";"grostitre               ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-20.html                         ";"grostitre               ";"0,,3263990-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-20.html                         ";"rappel                  ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-21.html                         ";"rappel                  ";"0,,3263990-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-21.html                         ";"rappel                  ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-22.html                         ";"rappel                  ";"0,,3263990-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-11-22.html                         ";"rappel                  ";"0,,3263602-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-03.html                         ";"grostitre               ";"0,,3268166-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-04.html                         ";"grostitre               ";"0,,3268166-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-05.html                         ";"rappel                  ";"0,,3268166-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-06.html                         ";"grostitre               ";"0,,3269222-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-06.html                         ";"rappel                  ";"0,,3268166-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-07.html                         ";"grostitre               ";"0,,3269222-vu5wx0leiduy,00.html                                            "
"etats-unis              ";"lci-monde-2005-12-07.html                         ";"rappel                  ";"0,,3268166-vu5wx0leiduy,00.html                                            "
